"flatBoolConstraints","Average stack size (kbytes)","peakMem","boolVariables","method","backjumps","flatBoolVars","floatVariables","flatSetVars","Maximum resident set size (kbytes)","setVariables","evaluatedHalfReifiedConstraints","flatFloatConstraints","intVariables","File system inputs","failures","Elapsed (wall clock) time (h:mm:ss or m:ss)","problem","flatFloatVars","Signals delivered","File system outputs","evaluatedReifiedConstraints","nodes","compileTime","Average unshared data size (kbytes)","Major (requiring I/O) page faults","Involuntary context switches","propagators","Exit status","Swaps","Average total size (kbytes)","restarts","User time (seconds)","peakDepth","nogoods","Average shared text size (kbytes)","Minor (reclaiming a frame) page faults","Socket messages received","iteration","flatIntVars","Average resident set size (kbytes)","Socket messages sent","status","initTime","data_file","System time (seconds)","paths","flatTime","flatIntConstraints","eliminatedLinearConstraints","Voluntary context switches","variables","solveTime","propagations","Page size (bytes)","model","Percent of CPU this job got","Command being timed","flatSetConstraints","eliminatedImplications"
"","0","","","minimize","","3238","","","81256","","","","","5784","","0:00.69","freepizza","","0","10952","39340","","0:00:00.048559","0","24","11","","0","0","0","","0.55","","","0","20732","0","1","3429","0","0","","","freepizza/pizza39.dzn","0.10","","0:00:00.226440","42595","","121","","","","4096","freepizza/freepizza.mzn","95%","""../build/mznasm --solver org.minizinc.mzn-fzn -c -s _temp.uzn freepizza/pizza39.dzn""","",""
"","0","","","minimize","","3238","","","81388","","","","","0","","0:00.66","freepizza","","0","10952","39340","","0:00:00.048559","0","0","10","","0","0","0","","0.53","","","0","20745","0","2","3429","0","0","","","freepizza/pizza39.dzn","0.11","","0:00:00.223125","42595","","106","","","","4096","freepizza/freepizza.mzn","97%","""../build/mznasm --solver org.minizinc.mzn-fzn -c -s _temp.uzn freepizza/pizza39.dzn""","",""
"","0","","","minimize","","3238","","","81304","","","","","0","","0:00.66","freepizza","","0","10952","39340","","0:00:00.048559","0","0","12","","0","0","0","","0.56","","","0","20744","0","3","3429","0","0","","","freepizza/pizza39.dzn","0.08","","0:00:00.223869","42595","","140","","","","4096","freepizza/freepizza.mzn","97%","""../build/mznasm --solver org.minizinc.mzn-fzn -c -s _temp.uzn freepizza/pizza39.dzn""","",""
"","0","","","minimize","","3238","","","81232","","","","","0","","0:00.67","freepizza","","0","10952","39340","","0:00:00.048559","0","0","11","","0","0","0","","0.52","","","0","20744","0","4","3429","0","0","","","freepizza/pizza39.dzn","0.13","","0:00:00.224108","42595","","146","","","","4096","freepizza/freepizza.mzn","97%","""../build/mznasm --solver org.minizinc.mzn-fzn -c -s _temp.uzn freepizza/pizza39.dzn""","",""
"","0","","","minimize","","3238","","","81284","","","","","0","","0:00.66","freepizza","","0","10952","39340","","0:00:00.048559","0","0","11","","0","0","0","","0.49","","","0","20745","0","5","3429","0","0","","","freepizza/pizza39.dzn","0.15","","0:00:00.221937","42595","","104","","","","4096","freepizza/freepizza.mzn","97%","""../build/mznasm --solver org.minizinc.mzn-fzn -c -s _temp.uzn freepizza/pizza39.dzn""","",""
"","0","","","minimize","","3238","","","81332","","","","","0","","0:00.68","freepizza","","0","10952","39340","","0:00:00.048559","0","0","13","","0","0","0","","0.54","","","0","20745","0","6","3429","0","0","","","freepizza/pizza39.dzn","0.12","","0:00:00.222744","42595","","106","","","","4096","freepizza/freepizza.mzn","98%","""../build/mznasm --solver org.minizinc.mzn-fzn -c -s _temp.uzn freepizza/pizza39.dzn""","",""
"","0","","","minimize","","3238","","","81184","","","","","0","","0:00.66","freepizza","","0","10952","39340","","0:00:00.048559","0","0","12","","0","0","0","","0.53","","","0","20743","0","7","3429","0","0","","","freepizza/pizza39.dzn","0.11","","0:00:00.221728","42595","","143","","","","4096","freepizza/freepizza.mzn","98%","""../build/mznasm --solver org.minizinc.mzn-fzn -c -s _temp.uzn freepizza/pizza39.dzn""","",""
"","0","","","minimize","","3238","","","81096","","","","","0","","0:00.66","freepizza","","0","10952","39340","","0:00:00.048559","0","0","8","","0","0","0","","0.54","","","0","20741","0","8","3429","0","0","","","freepizza/pizza39.dzn","0.10","","0:00:00.223789","42595","","95","","","","4096","freepizza/freepizza.mzn","98%","""../build/mznasm --solver org.minizinc.mzn-fzn -c -s _temp.uzn freepizza/pizza39.dzn""","",""
"","0","","","minimize","","3238","","","81312","","","","","0","","0:00.66","freepizza","","0","10952","39340","","0:00:00.048559","0","0","12","","0","0","0","","0.57","","","0","20745","0","9","3429","0","0","","","freepizza/pizza39.dzn","0.08","","0:00:00.223643","42595","","105","","","","4096","freepizza/freepizza.mzn","98%","""../build/mznasm --solver org.minizinc.mzn-fzn -c -s _temp.uzn freepizza/pizza39.dzn""","",""
"","0","","","minimize","","3238","","","81280","","","","","0","","0:00.67","freepizza","","0","10952","39340","","0:00:00.048559","0","0","14","","0","0","0","","0.57","","","0","20745","0","10","3429","0","0","","","freepizza/pizza39.dzn","0.08","","0:00:00.222096","42595","","145","","","","4096","freepizza/freepizza.mzn","97%","""../build/mznasm --solver org.minizinc.mzn-fzn -c -s _temp.uzn freepizza/pizza39.dzn""","",""
