"Voluntary context switches","Socket messages received","nogoods","System time (seconds)","Average total size (kbytes)","flatFloatVars","eliminatedImplications","flatFloatConstraints","failures","status","Swaps","User time (seconds)","peakDepth","Average shared text size (kbytes)","Socket messages sent","flatBoolConstraints","flatIntVars","flatSetConstraints","propagators","iteration","flatBoolVars","intVariables","Command being timed","boolVariables","Minor (reclaiming a frame) page faults","flatIntConstraints","Signals delivered","data_file","paths","evaluatedHalfReifiedConstraints","Exit status","peakMem","flatSetVars","Major (requiring I/O) page faults","nodes","Page size (bytes)","Elapsed (wall clock) time (h:mm:ss or m:ss)","Maximum resident set size (kbytes)","Percent of CPU this job got","propagations","File system outputs","problem","model","restarts","variables","floatVariables","method","Average resident set size (kbytes)","evaluatedReifiedConstraints","Average stack size (kbytes)","setVariables","solveTime","eliminatedLinearConstraints","Involuntary context switches","File system inputs","initTime","backjumps","flatTime","Average unshared data size (kbytes)"
"651","0","","0.19","0","","","","","","0","1.72","","0","0","17953","3429","","","1","39144","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza39.dzn""","","25918","42399","0","freepizza/pizza39.dzn","0","","0","","","11","","4096","0:02.00","105292","95%","","19648","freepizza","freepizza/freepizza.mzn","","","","minimize","0","39144","0","","","","21","2840","","","0:00:01.549640","0"
"329","0","","0.17","0","","","","","","0","1.73","","0","0","17953","3429","","","2","39144","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza39.dzn""","","25923","42399","0","freepizza/pizza39.dzn","0","","0","","","0","","4096","0:01.93","105540","98%","","19648","freepizza","freepizza/freepizza.mzn","","","","minimize","0","39144","0","","","","20","0","","","0:00:01.468360","0"
"261","0","","0.12","0","","","","","","0","1.76","","0","0","17953","3429","","","3","39144","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza39.dzn""","","25926","42399","0","freepizza/pizza39.dzn","0","","0","","","0","","4096","0:01.90","105608","99%","","19648","freepizza","freepizza/freepizza.mzn","","","","minimize","0","39144","0","","","","20","0","","","0:00:01.440880","0"
"228","0","","0.17","0","","","","","","0","1.73","","0","0","17953","3429","","","4","39144","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza39.dzn""","","25920","42399","0","freepizza/pizza39.dzn","0","","0","","","0","","4096","0:01.92","105312","99%","","19648","freepizza","freepizza/freepizza.mzn","","","","minimize","0","39144","0","","","","21","0","","","0:00:01.463650","0"
"255","0","","0.16","0","","","","","","0","1.72","","0","0","17953","3429","","","5","39144","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza39.dzn""","","25924","42399","0","freepizza/pizza39.dzn","0","","0","","","0","","4096","0:01.90","105464","99%","","19648","freepizza","freepizza/freepizza.mzn","","","","minimize","0","39144","0","","","","20","0","","","0:00:01.443100","0"
"245","0","","0.13","0","","","","","","0","1.75","","0","0","17953","3429","","","6","39144","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza39.dzn""","","25925","42399","0","freepizza/pizza39.dzn","0","","0","","","0","","4096","0:01.90","105548","99%","","19648","freepizza","freepizza/freepizza.mzn","","","","minimize","0","39144","0","","","","23","0","","","0:00:01.445980","0"
"270","0","","0.15","0","","","","","","0","1.74","","0","0","17953","3429","","","7","39144","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza39.dzn""","","25920","42399","0","freepizza/pizza39.dzn","0","","0","","","0","","4096","0:01.92","105504","99%","","19648","freepizza","freepizza/freepizza.mzn","","","","minimize","0","39144","0","","","","23","0","","","0:00:01.455590","0"
"258","0","","0.15","0","","","","","","0","1.74","","0","0","17953","3429","","","8","39144","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza39.dzn""","","25922","42399","0","freepizza/pizza39.dzn","0","","0","","","0","","4096","0:01.92","105508","98%","","19648","freepizza","freepizza/freepizza.mzn","","","","minimize","0","39144","0","","","","18","0","","","0:00:01.458440","0"
"263","0","","0.13","0","","","","","","0","1.75","","0","0","17953","3429","","","9","39144","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza39.dzn""","","25921","42399","0","freepizza/pizza39.dzn","0","","0","","","0","","4096","0:01.91","105364","98%","","19648","freepizza","freepizza/freepizza.mzn","","","","minimize","0","39144","0","","","","23","0","","","0:00:01.447040","0"
"218","0","","0.15","0","","","","","","0","1.72","","0","0","17953","3429","","","10","39144","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza39.dzn""","","25924","42399","0","freepizza/pizza39.dzn","0","","0","","","0","","4096","0:01.90","105504","98%","","19648","freepizza","freepizza/freepizza.mzn","","","","minimize","0","39144","0","","","","19","0","","","0:00:01.441240","0"
"267","0","","0.17","0","","","","","","0","1.90","","0","0","19896","3208","","","1","42799","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza78.dzn""","","27779","45821","0","freepizza/pizza78.dzn","0","","0","","","0","","4096","0:02.09","110532","99%","","21368","freepizza","freepizza/freepizza.mzn","","","","minimize","0","42799","0","","","","21","8","","","0:00:01.590750","0"
"268","0","","0.18","0","","","","","","0","1.89","","0","0","19896","3208","","","2","42799","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza78.dzn""","","27782","45821","0","freepizza/pizza78.dzn","0","","0","","","0","","4096","0:02.09","110536","99%","","21368","freepizza","freepizza/freepizza.mzn","","","","minimize","0","42799","0","","","","20","0","","","0:00:01.586870","0"
"263","0","","0.16","0","","","","","","0","1.92","","0","0","19896","3208","","","3","42799","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza78.dzn""","","27778","45821","0","freepizza/pizza78.dzn","0","","0","","","0","","4096","0:02.10","110348","99%","","21368","freepizza","freepizza/freepizza.mzn","","","","minimize","0","42799","0","","","","21","0","","","0:00:01.604120","0"
"179","0","","0.14","0","","","","","","0","1.92","","0","0","19896","3208","","","4","42799","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza78.dzn""","","27774","45821","0","freepizza/pizza78.dzn","0","","0","","","0","","4096","0:02.09","110228","98%","","21368","freepizza","freepizza/freepizza.mzn","","","","minimize","0","42799","0","","","","23","0","","","0:00:01.581410","0"
"213","0","","0.17","0","","","","","","0","1.89","","0","0","19896","3208","","","5","42799","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza78.dzn""","","27784","45821","0","freepizza/pizza78.dzn","0","","0","","","0","","4096","0:02.08","110560","99%","","21368","freepizza","freepizza/freepizza.mzn","","","","minimize","0","42799","0","","","","21","0","","","0:00:01.579720","0"
"276","0","","0.19","0","","","","","","0","1.87","","0","0","19896","3208","","","6","42799","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza78.dzn""","","27780","45821","0","freepizza/pizza78.dzn","0","","0","","","0","","4096","0:02.09","110456","98%","","21368","freepizza","freepizza/freepizza.mzn","","","","minimize","0","42799","0","","","","24","0","","","0:00:01.579440","0"
"279","0","","0.15","0","","","","","","0","1.91","","0","0","19896","3208","","","7","42799","","""minizinc --solver org.minizinc.mzn-fzn -c -s freepizza/freepizza.mzn freepizza/pizza78.dzn""","","27778","45821","0","freepizza/pizza78.dzn","0","","0","","","0","","4096","0:02.09","110344","98%","","21368","freepizza","freepizza/freepizza.mzn","","","","minimize","0","42799","0","","","","21","0","","","0:00:01.577690","0"
